Name,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New recovered,Active Cases,Serious Cases,Total Tezts,Population
Montserrat,"1,145",,8 ,,"1,106",,31,,"16,169","4,999 "
Macao,793,,6 ,,785,,2,,"7,850","668,432 "
Wallis and Futuna,761,,7 ,,438,,316,,"20,508","10,815 "
Diamond Princess,712,,13 ,,699,,0,,, 
Niue,70,, ,,60,,10,,,"1,650 "
Vatican City,29,, ,,29,,0,,,805 
Western Sahara,10,,1 ,,9,,0,,,"629,027 "
MS Zaandam,9,,2 ,,7,,0,,, 
Tuvalu,8,, ,,,,8,,,"12,106 "
Saint Helena,7,, ,,2,,5,,,"6,116 "
China,"243,081",+392,"5,226 ",,"231,520",+540,"6,335",31,"160,000,000","1,439,323,776 "
